organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
T8MofW5CkkU,36 Matyrs Clinic- Mbape,p.ng.CCFN.1496,,,,,,31,31,31,31,2,,6,218
UA7TZ66JLlt,45 Nigerian Airforce Hospital Makurdi,p.ng.pepfar.1764,,,,,,,,,,,,,0
vD3KyWE41ke,72 Special Forces Battalion Medical Reception Station Makurdi,p.ng.pepfar.1765,,,,,,,,,,,,,0
AXPIJPRXo5s,Aba Health Centre,,,33,32,1,20,62,62,62,62,0,,0,525
jo7dambanj1,Abah Primary Health Center,,,,,,,33,33,33,33,3,,0,157
ZBXG7XEJ03X,Abakor Primary Health Care,p.ng.IHVN.1441,,,,,,40,40,40,40,11,,0,138
Awp6evwdKBu,Abeda Primary Health Center,p.ng.CIHP.1510,,292,286,6,35,28,20,20,20,0,,0,543
H9hiuwR1BNn,Abeda Shittille Primary Health Center,,,,,,,0,0,0,0,0,,0,0
ZRSpxqpZDVS,Abiam Family Support Program Clinic,p.ng.IHVN.1418,,69,68,1,16,72,72,72,72,2,,0,2276
aDbNi9qbrTa,Abinisi Primary Health Center,p.ng.CIHP.1400,,,,,,42,42,42,42,3,,0,211
PyyoRwjaZ6Z,Aboho Primary Health Centre,,,39,39,0,7,4,4,4,4,0,,0,901
JWrYkPsMtR3,Achough Primary Health Center,p.ng.CIHP.1752,,,,,,0,0,0,0,0,,0,0
TYesyFL0PHW,Ada Comprehensive Health Center,p.ng.CIHP.1490,,,,,,34,34,34,34,0,,0,216
VgWKjowLb8Z,Ada Model,,,0,0,0,0,8,8,8,8,1,,0,68
Edu0gO2Pn5R,Adaa Ukusu Primary Health Center,p.ng.CIHP.1547,,,,,,10,10,10,10,1,,0,66
bkN3ItOJJok,Adeke Health Clinic,,,0,0,0,0,21,21,21,21,0,,0,135
pEGp4kgpOG1,Adiga Primary Health Center,p.ng.CIHP.1619,,,,,,,,,,,,,0
mvMjGraGxvu,Adikpo General Hospital,p.ng.CIHP.1487,,4954,4859,95,149,64,64,64,64,32,,17,615
VJPhKVM98uw,Adikpo Katsina-Ala Primary Health Centre,,,,,,,,,,,,,,0
NNdKVtjFoci,Adikpo Mgbaagwa Comprehensive Health Center,p.ng.CIHP.1720,,4,4,0,4,18,18,18,18,4,,3,178
HS64YOKuFY7,Adum West Primary Health Center,p.ng.CIHP.1552,,,,,,79,79,79,79,0,,0,186
ZBPBpt2IR4i,Advocates for Community Vision and Development,,,,,,,,,,,,,,0
EAzxw7913s3,Adyorou Primary Health Center,p.ng.CIHP.1763,,,,,,0,0,0,0,0,,0,0
fwKQk8IE5x2,Adyorough Primary Health Centre,,,,,,,,,,,,,,0
h6ZtmhafF6I,Afa Clinic,,,,,,,2,2,2,2,0,,1,228
rU0owasuzGp,Afia Comprehensive Health Center,p.ng.IHVN.1696,,446,426,20,0,,,,,,,,
